         gpa         gre  		 admit
291  3.183651  675.172488             0
292  3.294160  518.021665             0
293  2.930621  671.618113             0
294  3.166885  486.666061             0
295  2.818878  539.380278             0
296  3.487243  539.756951             0
297  3.122478  599.264300             0
298  3.316165  628.225580             0
299  2.692225  795.114106             0
300  3.428633  543.063447             0
301  2.976056  622.877101             0
302  3.155785  624.002925             0
303  3.294071  645.584605             0
304  3.076003  680.951106             0
305  3.365772  599.959689             0
306  3.387413  508.510130             0
307  2.773214  527.161612             0
308  3.171177  497.847973             0
309  3.309070  407.818047             0
310  3.718315  602.845694             0
311  2.909880  629.596877             0
312  3.243188  665.619332             0
313  2.484329  599.484830             0
314  2.722736  529.451215             0
315  3.511414  589.376252             0
316  2.996058  715.851611             0
317  3.249892  490.932053             0
318  3.159249  674.508906             0
319  2.971741  640.628414             0
320  3.012033  639.403420             0
321  3.264834  616.628509             0
322  3.338932  585.244167             0
323  3.234734  586.992382             0
324  3.120419  655.062350             0
325  3.539818  557.101015             0
326  3.189320  595.602131             0
327  2.819317  633.127178             0
328  3.072290  519.906120             0
329  3.167267  572.843785             0
330  2.972292  644.223064             0
331  2.989888  561.785545             0
332  3.287633  496.568852             0
333  3.402700  667.270384             0
334  2.950833  555.094070             0
335  3.276403  577.900963             0
336  3.170932  565.224324             0
337  3.044940  574.172694             0
338  2.995996  555.261041             0
339  3.316704  502.478983             0
340  3.260019  662.107798             0
341  3.612613  563.161628             0
342  3.586435  552.492929             0
343  3.273972  532.502658             0
344  3.032155  526.415252             0
345  3.419179  570.788955             0
346  3.062965  707.617217             0
347  3.115330  585.744852             0
348  3.316142  480.037358             0
349  3.202372  481.429935             0
350  2.940777  588.604903             0
351  3.530598  586.149180             0
352  3.127032  625.595859             0
353  3.138326  490.909707             0
354  2.819195  415.405902             0
355  2.749544  639.758145             0
356  3.426465  589.238511             0
357  3.107382  600.151885             0
358  2.718207  541.374067             0
359  3.091501  638.814718             0
360  3.184187  683.380600             0
361  3.042815  605.017109             0
362  2.847933  597.167490             0
363  3.092351  656.186812             0
364  3.348772  605.968197             0
365  3.000885  598.541034             0
366  3.135158  568.428274             0
367  3.282647  601.910011             0
368  3.104177  653.825020             0
369  3.292225  587.697669             0
370  3.255931  621.267215             0
371  2.746944  529.966555             0
372  2.508368  559.729855             0
373  3.032667  659.921038             0
374  3.362795  501.218033             0
375  3.323115  666.035785             0
376  2.909667  604.484680             0
377  3.090280  633.975270             0
378  3.010066  583.515774             0
379  3.212669  658.612449             0
380  2.894841  555.032255             0
381  3.202438  610.796489             0
382  3.255069  593.183599             0
383  3.462877  577.736308             0
384  3.141309  650.050559             0
385  2.923036  560.093881             0
386  2.863590  568.316048             0
387  3.321899  543.174854             0
388  3.241255  446.629101             0
389  2.966608  627.629318             0
390  3.369027  681.242195             0
391  3.278142  661.888162             0
392  3.281487  651.131398             0
393  2.489852  585.515283             0
394  3.117591  588.716368             0
395  3.540252  524.670624             0
396  3.597078  497.733322             0
397  3.295049  528.194674             0
398  3.329859  583.959838             0
399  2.901479  499.261480             0
400  3.414376  704.934217             1
401  3.652733  662.854261             1
402  3.040573  730.135566             1
403  2.902209  664.938813             1
404  3.307681  715.000076             1
405  3.160208  664.148153             1
406  3.052436  661.401229             1
407  3.399581  649.482975             1
408  3.179445  730.248802             1
409  3.968276  621.354786             1
410  3.022044  614.554527             1
411  3.582525  574.138603             1
412  3.880944  628.912737             1
413  3.084990  617.237109             1
414  2.907652  657.092230             1
415  3.512116  653.744260             1
416  3.592226  653.278041             1
417  3.757647  678.265356             1
418  3.663140  649.348912             1
419  3.184699  790.894102             1
420  3.274542  625.609795             1
421  3.406306  750.943765             1
422  3.265542  624.291686             1
423  3.360308  662.980640             1
424  3.424274  677.555275             1
425  3.120921  608.994864             1
426  3.194858  696.135444             1
427  3.509810  635.468904             1
428  3.552490  667.320643             1
429  3.436390  685.574693             1
430  3.352374  668.034495             1
431  3.556059  589.044756             1
432  3.076127  742.856972             1
433  3.312396  647.094820             1
434  3.742518  593.281550             1
435  3.086840  720.697055             1
436  3.332232  612.573428             1
437  3.050905  742.377943             1
438  3.000446  628.060616             1
439  3.371170  643.340952             1
440  3.157379  726.880881             1
441  3.058745  669.374663             1
442  3.181360  777.796915             1
443  3.642110  589.729421             1
444  3.601719  650.417592             1
445  3.413308  603.242372             1
446  3.747203  620.451065             1
447  3.448206  546.646023             1
448  3.476921  713.373865             1
449  3.155456  784.729935             1
450  3.476967  647.362080             1
451  3.636404  694.623595             1
452  3.567595  591.399738             1
453  3.587519  694.360651             1
454  3.655778  575.461259             1
455  3.533454  633.328152             1
456  2.714441  612.685867             1
457  3.607530  585.281450             1
458  3.623912  430.964848             1
459  3.288242  674.060138             1
460  2.858359  720.143826             1
461  3.804744  681.492196             1
462  3.625503  606.370700             1
463  3.064387  659.915493             1
464  3.183203  595.195508             1
465  3.631865  561.211942             1
466  3.240548  780.034054             1
467  3.348166  604.252785             1
468  3.645978  749.877819             1
469  3.485072  562.043249             1
470  3.445888  710.063910             1
471  3.388859  571.722233             1
472  3.049572  738.680683             1
473  3.462221  633.122825             1
474  3.206377  759.037953             1
475  3.191516  712.020484             1
476  2.828973  716.308308             1
477  2.948423  677.900941             1
478  3.605846  721.321934             1
479  3.527588  479.212755             1
480  3.936366  560.642932             1
481  2.975316  601.392062             1
482  3.609120  645.406661             1
483  2.995007  648.248741             1
484  3.282830  622.961363             1
485  3.314999  687.730345             1
486  3.594541  661.634438             1
487  3.256471  601.859874             1
488  3.470824  647.706576             1
489  3.179946  617.568367             1
490  2.934967  611.606292             1
491  2.935238  658.993351             1
492  3.065996  772.107288             1
493  3.501320  587.943435             1
494  3.063861  626.018986             1
495  3.763281  701.220609             1
496  3.330791  646.715257             1
497  3.578242  595.016520             1
498  3.378299  688.248300             1
499  3.471712  733.549465             1
500  2.965277  665.958871             1
501  3.780530  577.110313             1
502  3.807618  617.107327             1
503  3.146822  525.343611             1
504  2.945185  594.709599             1
505  3.338037  779.435528             1
506  2.855785  709.689746             1
507  3.695104  652.875375             1
508  3.307257  607.524874             1
509  3.621675  646.153869             1
510  3.416776  778.116717             1
511  3.462106  691.774186             1
512  3.315944  698.117106             1
513  3.560369  787.090070             1
514  3.080444  566.852619             1
515  3.605576  570.617519             1
516  4.000000  544.159398             1
517  2.983736  714.828025             1
518  2.770605  695.273684             1
519  3.353993  764.430488             1
520  3.116341  704.727847             1
521  3.459693  781.542412             1
522  3.373970  636.575931             1
523  3.330053  723.472396             1
524  3.381851  658.239881             1
525  2.879124  659.555691             1
526  3.314590  738.257455             1
527  3.269801  684.722621             1
528  3.577178  632.256365             1
529  3.824678  732.246233             1
530  2.677698  671.372869             1
531  3.367606  658.277726             1
532  3.095929  734.340252             1
533  3.091111  593.466163             1
534  3.505770  590.571090             1
535  3.192920  695.767218             1
536  3.386732  526.996836             1
537  3.325837  642.954788             1
538  3.598454  626.424155             1
539  3.341486  592.148987             1
540  3.128130  581.611730             1
541  3.082641  701.457924             1
542  2.950244  694.083190             1
543  3.560415  631.733428             1
544  3.163068  592.303659             1
545  3.277949  720.062434             1
546  3.581406  559.764878             1
547  4.000000  574.482912             1
548  3.298076  771.875487             1
549  3.297922  800.000000             1
550  2.506390  700.304931             1
551  3.068853  754.171894             1
552  3.050429  649.759729             1
553  4.000000  677.899597             1
554  3.569040  699.737356             1
555  3.085631  571.505294             1
556  2.914923  795.182376             1
557  3.725919  641.372775             1
558  3.691227  570.622972             1
559  3.067876  699.319199             1
560  3.173245  739.460254             1
561  3.140864  736.597979             1
562  3.299799  542.285958             1
563  2.982478  500.380390             1
564  3.415594  597.697079             1
565  3.080983  696.948147             1
566  3.576925  648.411777             1
567  3.315794  573.236626             1
568  3.004008  610.556794             1
569  3.591271  673.552753             1
570  3.549322  645.261912             1
571  3.205237  752.190874             1
572  2.918736  636.190019             1
573  3.213047  742.725000             1
574  3.673019  649.650931             1
575  3.466368  800.000000             1
576  3.540150  615.932401             1
577  3.533927  652.331840             1
578  3.278989  709.564820             1
579  3.636720  597.825593             1
580  3.379220  590.787054             1
581  3.999329  553.349300             1
582  3.482522  722.773113             1
583  3.188329  711.261780             1
584  3.660709  635.724194             1
585  3.600823  619.672136             1
586  3.540076  670.036214             1
587  3.211390  700.946407             1
588  3.817265  620.428042             1
589  3.709951  580.006364             1
590  3.743524  616.073209             1
591  2.862711  654.140893             1
592  3.674243  637.922531             1
593  3.828586  679.943759             1
594  3.014846  774.615214             1
595  3.636186  616.525346             1
596  3.565736  634.175655             1
597  2.932025  800.000000             1
598  3.203221  726.309382             1
599  3.208536  737.168076             1
600  3.621650  689.847374             1
601  3.431330  750.688753             1
602  3.065215  674.458792             1
603  3.077075  713.399147             1
604  3.032122  764.790105             1
605  2.794908  759.054863             1
606  3.345487  721.471468             1
607  3.252482  662.340801             1
608  3.774355  717.463598             1
609  3.647134  736.683178             1
610  3.310672  670.372319             1
611  3.571314  597.688183             1
612  3.511204  618.929875             1
613  3.455577  767.477376             1
614  3.865961  758.201732             1
615  3.302553  650.450324             1
616  3.045052  711.235436             1
617  3.922458  593.824578             1
618  3.037396  665.090554             1
619  3.307640  735.271839             1
620  3.412468  724.141783             1
621  3.738325  632.076120             1
622  3.313218  665.475028             1
623  3.492179  590.032019             1
624  3.410395  551.311711             1
625  3.532418  677.019051             1
626  3.486941  667.265346             1
627  2.929348  749.633740             1
628  3.764032  611.945766             1
629  2.944457  624.275140             1
630  3.583556  657.689211             1
631  3.567503  570.997409             1
632  2.948845  683.353304             1
633  3.088400  644.033320             1
634  3.785356  633.641188             1
635  2.947545  712.822653             1
636  3.868572  658.912044             1
637  3.440105  702.458099             1
638  3.257304  689.773376             1
639  3.381359  720.718438             1
640  3.083956  556.918021             1
641  3.114419  734.297679             1
642  3.549012  604.697503             1
643  3.532753  588.986175             1
